disruption,model,risk_difference,ci_low,ci_high
conflicting_evacuation_orders,qwen3.5,-0.02,-0.05,0.0
conflicting_evacuation_orders,glm-5.2,-0.15,-0.3,0.0
conflicting_evacuation_orders,deepseek-v4-pro,-0.35,-0.55,-0.17
medical_emergency_in_flight,qwen3.5,-0.08,-0.21,0.02
medical_emergency_in_flight,glm-5.2,-0.15,-0.3,0.0
medical_emergency_in_flight,deepseek-v4-pro,-0.2,-0.42,-0.04
bus1_suspension_capacity_reduction,qwen3.5,-0.08,-0.18,-0.01
bus1_suspension_capacity_reduction,glm-5.2,-0.15,-0.3,0.0
bus1_suspension_capacity_reduction,deepseek-v4-pro,-0.245,-0.45,-0.08
unverified_persons_report,qwen3.5,-0.1,-0.23,0.0
unverified_persons_report,glm-5.2,-0.16,-0.31,-0.03
unverified_persons_report,deepseek-v4-pro,-0.31,-0.44,-0.17
sc1_partial_capacity_loss,qwen3.5,-0.22,-0.44,-0.03
sc1_partial_capacity_loss,glm-5.2,-0.19,-0.42,0.0
sc1_partial_capacity_loss,deepseek-v4-pro,-0.26,-0.52,-0.03
